DATE,DTWEXBGS
2012-10-11,90.7565
2012-10-12,90.6962
2012-10-15,90.6539
2012-10-16,90.5713
2012-10-17,90.2452
2012-10-18,90.3948
2012-10-19,90.8241
2012-10-22,90.8039
2012-10-23,91.1063
2012-10-24,91.14
2012-10-25,91.0327
2012-10-26,91.1539
2012-10-29,.
2012-10-30,.
2012-10-31,91.1738
2012-11-01,91.1348
2012-11-02,91.2925
2012-11-05,91.4899
2012-11-06,91.3031
2012-11-07,91.4632
2012-11-08,91.5494
2012-11-09,91.6986
2012-11-12,.
2012-11-13,91.7468
2012-11-14,91.8049
2012-11-15,91.8943
2012-11-16,92.0198
2012-11-19,91.5766
2012-11-20,91.567
2012-11-21,91.6751
2012-11-22,.
2012-11-23,91.274
2012-11-26,91.2912
2012-11-27,91.2728
2012-11-28,91.3425
2012-11-29,91.222
2012-11-30,91.1149
2012-12-03,91.0207
2012-12-04,90.9877
2012-12-05,90.9546
2012-12-06,91.0748
2012-12-07,91.0551
2012-12-10,90.9746
2012-12-11,90.8526
2012-12-12,90.7834
2012-12-13,90.7886
2012-12-14,90.729
2012-12-17,90.6332
2012-12-18,90.5303
2012-12-19,90.5036
2012-12-20,90.6142
2012-12-21,90.973
2012-12-24,91.0483
2012-12-25,.
2012-12-26,91.0735
2012-12-27,91.1164
2012-12-28,91.0546
2012-12-31,91.0962
2013-01-01,.
2013-01-02,90.7066
2013-01-03,90.8219
2013-01-04,91.1142
2013-01-07,90.9977
2013-01-08,91.069
2013-01-09,91.0205
2013-01-10,90.6547
2013-01-11,90.5475
2013-01-14,90.5054
2013-01-15,90.5305
2013-01-16,90.6069
2013-01-17,90.5505
2013-01-18,90.8788
2013-01-21,.
2013-01-22,90.7988
2013-01-23,90.8468
2013-01-24,90.9198
2013-01-25,91.0957
2013-01-28,91.2449
2013-01-29,90.9505
2013-01-30,90.8937
2013-01-31,90.8088
2013-02-01,90.7026
2013-02-04,90.9875
2013-02-05,90.8903
2013-02-06,91.027
2013-02-07,91.3004
2013-02-08,91.3153
2013-02-11,91.4542
2013-02-12,91.2874
2013-02-13,91.2802
2013-02-14,91.3748
2013-02-15,91.4636
2013-02-18,.
2013-02-19,91.5155
2013-02-20,91.6759
2013-02-21,92.0462
2013-02-22,92.1259
2013-02-25,92.2028
2013-02-26,92.4298
2013-02-27,92.2392
2013-02-28,92.3001
2013-03-01,92.6217
2013-03-04,92.6357
2013-03-05,92.5009
2013-03-06,.
2013-03-07,92.5503
2013-03-08,92.628
2013-03-11,92.5376
2013-03-12,92.3875
2013-03-13,92.4727
2013-03-14,92.4722
2013-03-15,92.1316
2013-03-18,92.3407
2013-03-19,92.5284
2013-03-20,92.4163
2013-03-21,92.3349
2013-03-22,92.2085
2013-03-25,92.3109
2013-03-26,92.2353
2013-03-27,92.4487
2013-03-28,92.2576
2013-03-29,92.3047
2013-04-01,92.1719
2013-04-02,92.146
2013-04-03,92.1073
2013-04-04,92.393
2013-04-05,92.1082
2013-04-08,92.2349
2013-04-09,91.9706
2013-04-10,91.9632
2013-04-11,91.7014
2013-04-12,91.8008
2013-04-15,91.949
2013-04-16,91.8477
2013-04-17,92.1388
2013-04-18,92.1774
2013-04-19,92.2173
2013-04-22,92.3601
2013-04-23,92.3844
2013-04-24,92.4586
2013-04-25,92.0408
2013-04-26,91.9035
2013-04-29,91.6565
2013-04-30,91.3778
2013-05-01,91.4369
2013-05-02,91.62
2013-05-03,91.5117
2013-05-06,91.6416
2013-05-07,91.5223
2013-05-08,91.1872
2013-05-09,91.3054
2013-05-10,92.2529
2013-05-13,92.2714
2013-05-14,92.3692
2013-05-15,92.7681
2013-05-16,92.6596
2013-05-17,93.1594
2013-05-20,93.0338
2013-05-21,92.964
2013-05-22,93.3064
2013-05-23,93.2095
2013-05-24,93.2749
2013-05-27,.
2013-05-28,93.5823
2013-05-29,93.5293
2013-05-30,93.4217
2013-05-31,93.6067
2013-06-03,93.1641
2013-06-04,93.3063
2013-06-05,93.2754
2013-06-06,92.8123
2013-06-07,92.608
2013-06-10,92.9767
2013-06-11,92.804
2013-06-12,92.4828
2013-06-13,92.3507
2013-06-14,92.1935
2013-06-17,92.3382
2013-06-18,92.5485
2013-06-19,92.4809
2013-06-20,94.1277
2013-06-21,94.4258
2013-06-24,94.5733
2013-06-25,94.33
2013-06-26,94.383
2013-06-27,94.2439
2013-06-28,94.3038
2013-07-01,94.0989
2013-07-02,94.4036
2013-07-03,94.4758
2013-07-04,.
2013-07-05,95.0604
2013-07-08,94.9924
2013-07-09,94.9424
2013-07-10,94.756
2013-07-11,93.9479
2013-07-12,94.0015
2013-07-15,93.9712
2013-07-16,93.522
2013-07-17,93.5484
2013-07-18,93.6796
2013-07-19,93.4751
2013-07-22,93.2256
2013-07-23,93.1637
2013-07-24,93.3128
2013-07-25,93.2867
2013-07-26,93.1708
2013-07-29,93.1677
2013-07-30,93.3985
2013-07-31,93.5707
2013-08-01,93.7964
2013-08-02,93.5784
2013-08-05,93.5064
2013-08-06,93.3199
2013-08-07,93.2663
2013-08-08,92.8504
2013-08-09,92.8417
2013-08-12,92.9201
2013-08-13,93.4772
2013-08-14,93.3837
2013-08-15,93.5075
2013-08-16,93.4277
2013-08-19,93.6654
2013-08-20,93.5573
2013-08-21,94.0398
2013-08-22,94.2834
2013-08-23,93.9494
2013-08-26,94.1887
2013-08-27,94.3987
2013-08-28,94.4193
2013-08-29,94.6441
2013-08-30,94.7576
2013-09-02,.
2013-09-03,94.9627
2013-09-04,94.58
2013-09-05,94.8947
2013-09-06,94.2548
2013-09-09,94.0078
2013-09-10,93.9439
2013-09-11,93.7173
2013-09-12,93.5967
2013-09-13,93.6724
2013-09-16,93.2938
2013-09-17,93.23
2013-09-18,93.264
2013-09-19,92.4153
2013-09-20,92.6119
2013-09-23,92.6211
2013-09-24,92.7771
2013-09-25,92.7754
2013-09-26,93.0166
2013-09-27,92.9829
2013-09-30,92.9297
2013-10-01,92.9602
2013-10-02,92.7814
2013-10-03,92.7555
2013-10-04,92.6554
2013-10-07,92.6812
2013-10-08,92.7647
2013-10-09,93.0906
2013-10-10,92.8655
2013-10-11,92.8613
2013-10-14,.
2013-10-15,92.7713
2013-10-16,92.689
2013-10-17,92.0332
2013-10-18,92.0079
2013-10-21,92.2588
2013-10-22,91.966
2013-10-23,92.1033
2013-10-24,92.1951
2013-10-25,92.1697
2013-10-28,92.1946
2013-10-29,92.3078
2013-10-30,92.3125
2013-10-31,92.7374
2013-11-01,93.1603
2013-11-04,92.9419
2013-11-05,93.217
2013-11-06,93.101
2013-11-07,93.406
2013-11-08,93.6667
2013-11-11,.
2013-11-12,93.7702
2013-11-13,93.4903
2013-11-14,93.4378
2013-11-15,93.2907
2013-11-18,92.9881
2013-11-19,93.0706
2013-11-20,93.256
2013-11-21,93.5692
2013-11-22,93.4253
2013-11-25,93.5586
2013-11-26,93.5279
2013-11-27,93.6912
2013-11-28,.
2013-11-29,93.6341
2013-12-02,93.89
2013-12-03,93.8298
2013-12-04,93.9028
2013-12-05,93.4996
2013-12-06,93.4085
2013-12-09,93.1481
2013-12-10,.
2013-12-11,93.0888
2013-12-12,93.4331
2013-12-13,93.3609
2013-12-16,93.222
2013-12-17,93.3061
2013-12-18,93.425
2013-12-19,93.7405
2013-12-20,93.7247
2013-12-23,93.5764
2013-12-24,93.6779
2013-12-25,.
2013-12-26,93.7709
2013-12-27,93.7068
2013-12-30,93.4919
2013-12-31,93.5628
2014-01-01,.
2014-01-02,93.823
2014-01-03,93.857
2014-01-06,93.9149
2014-01-07,94.043
2014-01-08,94.2205
2014-01-09,94.3319
2014-01-10,94.0062
2014-01-13,93.9006
2014-01-14,94.032
2014-01-15,94.3423
2014-01-16,94.552
2014-01-17,94.5856
2014-01-20,.
2014-01-21,94.6809
2014-01-22,94.8497
2014-01-23,94.8447
2014-01-24,94.8592
2014-01-27,94.9103
2014-01-28,94.8834
2014-01-29,94.8653
2014-01-30,95.1318
2014-01-31,95.1798
2014-02-03,95.249
2014-02-04,95.0455
2014-02-05,95.0298
2014-02-06,94.7197
2014-02-07,94.7486
2014-02-10,94.7217
2014-02-11,94.6409
2014-02-12,94.6245
2014-02-13,.
2014-02-14,94.2764
2014-02-17,.
2014-02-18,94.1993
2014-02-19,94.3855
2014-02-20,94.6618
2014-02-21,.
2014-02-24,94.4097
2014-02-25,94.4796
2014-02-26,94.7807
2014-02-27,94.678
2014-02-28,94.3948
2014-03-03,.
2014-03-04,94.6626
2014-03-05,94.4742
2014-03-06,93.9929
2014-03-07,94.2592
2014-03-10,94.3784
2014-03-11,94.3923
2014-03-12,94.4674
2014-03-13,94.1935
2014-03-14,94.2491
2014-03-17,.
2014-03-18,94.2696
2014-03-19,94.3814
2014-03-20,95.0046
2014-03-21,94.8612
2014-03-24,94.7644
2014-03-25,94.6436
2014-03-26,94.5348
2014-03-27,94.3396
2014-03-28,94.3763
2014-03-31,94.2515
2014-04-01,94.132
2014-04-02,94.3178
2014-04-03,94.5191
2014-04-04,94.2266
2014-04-07,94.0965
2014-04-08,93.6677
2014-04-09,93.6814
2014-04-10,93.5229
2014-04-11,93.6494
2014-04-14,93.8146
2014-04-15,93.9581
2014-04-16,93.9554
2014-04-17,93.9027
2014-04-18,93.9717
2014-04-21,94.0429
2014-04-22,94.09
2014-04-23,94.1588
2014-04-24,94.1398
2014-04-25,94.1726
2014-04-28,94.1476
2014-04-29,94.0398
2014-04-30,93.9005
2014-05-01,93.8815
2014-05-02,93.8287
2014-05-05,93.7437
2014-05-06,93.4435
2014-05-07,93.4446
2014-05-08,93.3801
2014-05-09,93.6713
2014-05-12,93.6637
2014-05-13,93.685
2014-05-14,93.6054
2014-05-15,93.7152
2014-05-16,93.6161
2014-05-19,93.5107
2014-05-20,93.6784
